id_comentario, num_cuenta, comentario,fecha_comen
56,4167046,finalizar,2017-03-27
57,4167392,finalizar,2017-03-24
58,4167621,finalizar,2017-03-27
59,4168091,finalizar,2017-03-29
60,4168289,finalizar,2017-03-28
61,4168404,sello aut.,2017-03-31
62,4168554,vencimiento - domicilio,2017-03-29
63,4168609,finalizar,2017-04-03
64,4170503,referente,2017-04-03
65,4170768,finalizar,2017-04-03
66,4170889,finalizar,2017-04-09
67,4171152,finalizar,2017-04-12
68,4171420,finalizar,2017-04-16
69,4171701,sin datos lab.,2017-04-18
70,4171728,finalizar,2017-04-18
71,4172040,part,2017-04-20
72,4172151,laboral,2017-04-22
73,4172255,finalizar,2017-04-24
74,4172545,finalizar,2017-04-24
75,4172546,finalizar,2017-04-26
76,4172553,finalizar,2017-04-23
77,4172703,finalizar,2017-04-29
78,4172802,hay otro,2017-04-25
79,4172942,finalizar,2017-04-28
80,4172991,finalizar,2017-04-28
81,4173226,finalizar,2017-04-29
82,4173246,finalizar,2017-05-04
83,4173273,finalizar,2017-05-03
84,4173310,finalizar,2017-04-30
85,4173515,finalizar,2017-05-05
86,4173659,finalizar,2017-05-05
87,4173857,sin otra doc.,2017-05-10
88,4173926,finalizar,2017-05-07
89,4174014,finalizar,2017-05-10
90,4176645,finalizar,2017-05-11
91,4176664,finalizar,2017-05-12
92,4176712,finalizar,2017-05-10
93,4176794,seguridad,2017-05-14
94,4176829,finalizar,2017-05-13
95,4176921,finalizar,2017-05-14
96,4176966,finalizar,2017-05-12
97,4176968,finalizar,2017-05-15
98,4176971,dom. oculto por ticket,2017-05-13
99,4176980,finalizar,2017-05-17
100,4177008,finalizar,2017-05-18
101,4177010,finalizar,2017-05-16
102,4177025,finalizar,2017-05-18
103,4177088,laboral,2017-05-15
104,4177907,finalizar,2017-05-18
105,4178109,finalizar,2017-05-18
106,4178196,finalizar,2017-05-20
107,4178793,finalizar,2017-05-20
108,4180637,finalizar,2017-05-21
109,4180901,finalizar,2017-05-25
110,4180990,aguinaldo,2017-05-27
111,4180995,"no tiene consumido, se pasas a 40 por el tiempo transcurrido.",2017-05-26
112,4180995,transporte - aguinaldo,2017-05-26
113,4181264,hay otro,2017-05-27
114,4181274,finalizar,2017-05-25
115,4181332,finalizar,2017-05-26
116,4181362,finalizar,2017-05-26
117,4181389,finalizar,2017-05-26
118,4182429,finalizar,2017-05-27
119,4182445,finalizar,2017-05-27
120,4182466,finalizar,2017-05-26
121,4182592,finalizar,2017-05-31
122,4182643,4 y 5 hoja,2017-05-31
123,4182681,1ra quin feb 2012,2017-05-30
124,4182695,$1000,2017-05-31
125,4182875,finalizar,2017-06-03
126,4182987,quintuplica.,2017-05-30
127,4183046,finalizar,2017-06-05
128,4183070,$1250,2017-06-01
129,4183091,finalizar,2017-06-04
130,4183099,finalizar,2017-06-03
131,4183112,finalizar,2017-06-02
132,4183126,policía,2017-06-02
133,4183143,se ha dado respuesta a la queja del cliente.,2017-06-05
134,4183166,finalizar,2017-06-02
135,4183214,vigilador,2017-06-03
136,4183262,$1625,2017-06-04
137,4183274,seguridad,2017-06-03
138,4183366,finalizar,2017-06-02
139,4183370,finalizar,2017-06-06
140,4183420,limpieza,2017-06-06
141,4183498,concretar,2017-06-07
142,4183563,reverso,2017-06-05
143,4183629,esta en estado 14. se pasa a 41.,2017-06-08
144,4183629,finalizar,2017-06-08
145,4183667,seguridad,2017-06-10
146,4183780,finalizar,2017-06-11
147,4183918,sello,2017-06-09
148,4183935,finalizar,2017-06-07
149,4183960,finalizar,2017-06-08
150,4184014,finalizar,2017-06-10
151,4184108,DNI,2017-06-07
152,4184188,concretar,2017-06-10
153,4184198,concretar,2017-06-08
154,4184406,"ingresos mal cargados, falta autorización. - Sofía Rodríguez",2017-06-08
155,4184420,chofer colec.,2017-06-11
156,4184424,DNI,2017-06-09
157,4184437,dic-11 $900,2017-06-11
158,4184529,finalizar,2017-06-11
159,4184545,finalizar,2017-06-15
160,4184571,servicio,2017-06-10
161,4184668,finalizar,2017-06-14
162,4184709,concretar,2017-06-12
163,4184807,servicio,2017-06-14
164,4184850,serv. a nombre de terceros,2017-06-12
165,4184861,vigilador,2017-06-16
166,4184918,finalizar,2017-06-13
167,4185057,serv. a nombre de terceros,2017-06-14
168,4185086,finalizar,2017-06-14
169,4185146,finalizar,2017-06-16
170,4185159,falta 6ta hoja,2017-06-17
171,4185162,limpieza,2017-06-14
172,4185216,concretar,2017-06-20
173,4185323,vigilador,2017-06-20
174,4185354,finalizar,2017-06-21
175,4185366,finalizar,2017-06-22
176,4185371,CredInfo - factura,2017-06-20
177,4185437,no solucionado. se pasa a 41.,2017-06-21
178,4185698,digitalizar,2017-06-19
179,4185745,vigilador,2017-06-22
180,4185816,hay otro,2017-06-22
181,4185817,seguridad,2017-06-23
182,4185847,hay otro,2017-06-25
183,4185890,falta 6ta hoja,2017-06-22
184,4186033,seguridad,2017-06-26
185,4186099,limpieza,2017-06-27
186,4186231,seguridad,2017-06-26
187,4186336,limpieza,2017-06-30
188,4186390,concretar,2017-06-30
189,4186424,concretar,2017-07-03
190,4186428,concretar,2017-07-01
191,4186515,concretar,2017-07-02
192,4186521,CredInfo,2017-07-03
193,4186555,seguridad,2017-06-30
194,4186606,hay otro,2017-07-05
195,4186620,CredInfo,2017-07-05
196,4186668,seguridad,2017-06-30
197,4186787,laboral,2017-07-06
198,4186805,finalizar - limpieza,2017-07-06
199,4186869,finalizar,2017-07-10
200,4186926,concretar,2017-07-07
201,4186960,finalizar,2017-07-08
202,4186986,limpieza,2017-07-10
203,4187125,seguridad,2017-07-10
204,4187161,particular,2017-07-11
205,4187470,finalizar,2017-07-14
206,4187478,finalizar,2017-07-14
207,4187967,transporte,2017-07-13
208,4188208,finalizar,2017-07-11
209,4188296,finalizar,2017-07-14
210,4188448,finalizar,2017-07-15
211,4188455,dat. lab - lab,2017-07-16
212,4188603,seguridad,2017-07-16
213,4188703,el compr. lo tapa,2017-07-15
214,4189031,seguridad,2017-07-12
215,4190058,finalizar,2017-07-16
216,4190245,hay otro,2017-07-14
217,4190565,s.a.c.,2017-07-19
218,4190625,limpieza,2017-07-16
219,4190705,concretar,2017-07-16
220,4190834,laboral,2017-07-18
221,4190845,concretar,2017-07-18
222,4190898,seguridad,2017-07-20
223,4190938,concretar,2017-07-16
224,4191017,concretar,2017-07-19
225,4191165,finalizar,2017-07-20
226,4191171,finalizar,2017-07-19
227,4191191,finalizar,2017-07-17
228,4191210,hay otro,2017-07-22
229,4191274,concretar,2017-07-20
230,4191296,concretar,2017-07-22
231,4191303,finalizar,2017-07-23
232,4191320,no hay cód de aut. del reg. se pasa a 41,2017-07-21
233,4191320,no resuelto,2017-07-21
234,4191415,policía,2017-07-21
235,4191535,finalizar,2017-07-22
236,4191535,no hay nada en el CredInfo,2017-07-22
237,4191554,finalizar,2017-07-25
238,4191625,concretar,2017-07-23
239,4191753,finalizar,2017-07-25
240,4191812,concretar,2017-07-22
241,4191822,concretar,2017-07-21
242,4191864,concretar,2017-07-21
243,4191881,laboral,2017-07-23
244,4191918,hay otro,2017-07-22
245,4191934,policía,2017-07-24
246,4191962,concretar,2017-07-24
247,4191963,laboral,2017-07-23
248,4191999,no dictamina,2017-07-26
249,4192105,policía,2017-07-30
250,4192119,concretar,2017-07-27
251,4192196,laboral,2017-07-30
252,4192235,concretar,2017-07-28
253,4192240,concretar,2017-07-28
254,4192386,laboral,2017-07-28
255,4192390,s. penitenciario,2017-08-01
256,4192424,digitalizar,2017-08-01
257,4192425,digitalizar,2017-08-01
258,4192427,referente,2017-07-28
259,4192477,seguridad,2017-07-29
260,4192530,policía - cert. de remun.,2017-07-27
261,4192534,no se arregló. se pasa a 41,2017-08-01
262,4192534,no se digitalizó lo que falta del legajo,2017-08-01
263,4192553,no se arregló se pasa a 41,2017-07-29
264,4192553,no se digitalizó lo que queda del legajo,2017-07-29
265,4192574,no se arregló. se pasa a 41.,2017-08-03
266,4192574,no se completó,2017-08-03
267,4192584,no se arregló. se pasa a 41.,2017-08-02
268,4192584,no se completó,2017-08-02
269,4192605,s. penitenciario,2017-07-30
270,4192675,incompleto,2017-07-31
271,4192702,seguridad,2017-08-01
272,4192736,policía,2017-08-01
273,4192844,seguridad,2017-08-01
274,4192846,no se completó,2017-08-01
275,4192865,limpieza,2017-08-05
276,4192867,policía,2017-08-06
277,4192883,no se arregló. se pasa a 41.,2017-08-05
278,4192883,no se completó,2017-08-05
279,4192884,no se arregló. se pasa a 41.,2017-08-02
280,4192884,no se completó,2017-08-02
281,4192904,no se completo,2017-08-04
282,4192904,no se completo. se pasa a 41,2017-08-04
283,4192918,finalizar,2017-08-05
284,4192925,no se completó,2017-08-03
285,4192925,no se completo. se pasa a 41.,2017-08-03
286,4192988,digitalizar,2017-08-06
287,4192988,no esta dig las verif - se pasa a 41,2017-08-06
288,4193152,concretar,2017-08-08
289,4193162,policía,2017-08-09
290,4193172,policía,2017-08-07
291,4193371,finalizar,2017-08-09
292,4193382,finalizar,2017-08-06
293,4193400,finalizar,2017-08-08
294,4193414,no dictamina,2017-08-10
295,4193441,particular,2017-08-12
296,4193490,concretar,2017-08-11
297,4193495,concretar,2017-08-09
298,4193516,finalizar,2017-08-10
299,4193537,seguridad,2017-08-10
300,4193579,concretar,2017-08-13
301,4193726,concretar,2017-08-10
302,4193770,finalizar,2017-08-13
303,4193773,concretar,2017-08-10
304,4193797,concretar,2017-08-09
305,4193820,1 hoja,2017-08-13
306,4193870,limpieza,2017-08-13
307,4194031,finalizar,2017-08-14
308,4194087,finalizar,2017-08-17
309,4194169,seguridad,2017-08-19
310,4194256,policía,2017-08-17
311,4194342,concretar,2017-08-16
312,4194355,concretar,2017-08-18
313,4194527,concretar,2017-08-19
314,4194735,limpieza,2017-08-19
315,4194790,finalizar,2017-08-23
316,4194903,finalizar,2017-08-26
317,4194991,seguridad,2017-08-28
318,4195052,hay otro - solicitud,2017-08-27
319,4195071,seguridad,2017-08-27
320,4195092,chofer colec.,2017-08-27
321,4195131,concretar,2017-09-05
322,4195177,concretar,2017-09-09
323,4195210,concretar,2017-09-12
324,4195222,limpieza,2017-09-12
325,4195226,concretar,2017-09-11
326,4195336,finalizar-tel lab.- dat lab.,2017-09-14
327,4195371,policía,2017-09-15
328,4195385,finalizar,2017-09-13
329,4195387,concretar,2017-09-17
330,4195455,limpieza,2017-09-14
331,4195498,concretar,2017-09-14
332,4195582,concretar,2017-09-16
333,4195587,finalizar,2017-09-14
334,4195603,finalizar,2017-09-18
335,4195642,concretar,2017-09-17
336,4195668,finalizar,2017-09-16
337,4195672,concretar,2017-09-18
338,4195689,finalizar,2017-09-15
339,4195852,ilegible,2017-09-19
340,4195897,ilegible,2017-09-17
341,4195995,concretar,2017-09-20
342,4196054,concretar,2017-09-23
343,4196164,concretar,2017-09-21
344,4196204,concretar,2017-09-20
345,4196268,concretar,2017-09-24
346,4196346,finalizar,2017-09-25
347,4196471,legajo anulado,2017-09-25
348,4196471,no esta el DNI,2017-09-25
349,4196607,concretar,2017-09-29
350,4196814,concretar,2017-09-26
351,4196881,ilegible,2017-09-30
352,4197002,bfcio. 40,2017-09-30
353,4197290,ilegible,2017-09-27
354,4197304,finalizar,2017-09-27
355,4197345,ilegible,2017-09-30
356,4197346,ilegible,2017-10-02
357,4197359,ilegible,2017-10-01
358,4197417,ilegible,2017-10-02
359,4197448,ilegible,2017-09-29
360,4197451,finalizar,2017-10-01
361,4197491,ilegible,2017-09-30
362,4197513,seguridad,2017-10-05
363,4197561,ilegible,2017-10-02
364,4197590,limpieza,2017-10-03
365,4197639,finalizar,2017-10-08
366,4197646,concretar - seguridad,2017-10-08
367,4197662,seguridad,2017-10-08
368,4197718,concretar,2017-10-06
369,4197755,seguridad,2017-10-08
370,4197818,concretar,2017-10-11
371,4197822,chofer colec.,2017-10-08
372,4197907,seguridad,2017-10-10
373,4198043,finalizar,2017-10-10
374,4198135,concretar,2017-10-09
375,4198278,concretar,2017-10-12
376,4198289,no aparece escaneado el legajo,2017-10-11
377,4198289,seguridad,2017-10-11
378,4198347,seguridad,2017-10-13
379,4198370,seguridad,2017-10-11
380,4198372,seguridad,2017-10-13
381,4198431,seguridad,2017-10-10
382,4198457,policía,2017-10-12
383,4199030,concretar,2017-10-11
384,4199226,laboral,2017-10-15
385,4199268,limpieza,2017-10-18
386,4199285,laboral,2017-10-16
387,4199357,chofer colec.,2017-10-20
388,4199392,finalizar,2017-10-16
389,4199678,concretar,2017-10-20
390,4199740,finalizar,2017-10-22
391,4200002,concretar,2017-10-17
392,4200026,laboral,2017-10-20
393,4200157,laboral,2017-10-22
394,4200175,concretar,2017-10-20
395,4200293,chofer colec.,2017-10-18
396,4200328,seguridad,2017-10-19
397,4200346,finalizar,2017-10-18
398,4200445,concretar,2017-10-20
399,4200696,concretar,2017-10-22
400,4200849,concretar,2017-10-24
401,4200935,chofer colec.,2017-10-23
402,4200995,finalizar,2017-10-22
403,4201035,policía,2017-10-26
404,4201066,concretar,2017-10-27
405,4201246,seguridad,2017-10-28
406,4201286,concretar,2017-10-30
407,4201306,fuerza seguridad,2017-10-31
408,4201446,policía,2017-10-28
409,4201453,seguridad,2017-10-29
410,4201488,limpieza,2017-11-01
411,4201503,concretar,2017-11-02
412,4201583,concretar,2017-11-04
413,4201595,concretar,2017-11-03
414,4201638,"p. palacios en el remito: el cliente es viable, al da de la fecha cumple regularmente con su compromiso de pago.",2017-11-06
415,4201647,concretar,2017-11-06
416,4201836,laboral,2017-11-08
417,4201836,no se arregló nada35-2476,2017-11-08
418,4201836,no se arregló nada. se pasa a 41,2017-11-08
419,4201900,hay otro,2017-11-07
420,4201916,concretar,2017-11-08
421,4201929,esta como ing mal carg. pero tampoco esta el recibo de sueldo,2017-11-10
422,4202129,mismo limite. no hay recalificadores cargados. dice que mando el req. 195542,2017-11-11
423,4202129,no se arregló. se pasa a 41.,2017-11-11
424,4202129,seguridad,2017-11-11
425,4202132,no se arregló nada,2017-11-09
426,4202240,finalizar,2017-11-10
427,4202246,no solucionado.,2017-11-10
428,4202255,mando correo indicando la solucion. nunca se cambiaron los teléfonos,2017-11-13
429,4202255,no se cambió el tel laboral,2017-11-13
430,4202264,s. penitenciario,2017-11-11
431,4202285,concretar,2017-11-12
432,4202312,ídem.,2017-11-14
433,4202312,no tiene el CredInfo.,2017-11-14
434,4202312,"nunca exportaron el CredInfo, sigue en 25 en sistema",2017-11-14
435,4202312,sigue sin CredInfo,2017-11-14
436,4202323,finalizar,2017-11-12
437,4202345,no se arregló. se pasa a 41.,2017-11-13
438,4202345,no se puedo acceder a CredInfo con el núm cta ni con el DNI,2017-11-13
439,4202374,limite $10.000 de mas.,2017-11-18
440,4202376,concretar,2017-11-14
441,4202419,nada todavía 48-1672,2017-11-15
442,4202419,no se arregló nada,2017-11-15
443,4202419,"teléfonos arreglado, el recibo no se pasa a 41",2017-11-15
444,4202471,chofer colec.,2017-11-16
445,4202566,finalizar,2017-11-20
446,4202613,finalizar,2017-11-24
447,4202654,concretar,2017-11-26
448,4202654,no concretado,2017-11-26
449,4202654,sin resolver,2017-11-26
450,4202717,no hay otro doc.,2017-11-25
451,4202761,finalizar,2017-11-26
452,4202877,falta visto original y-o firma op.,2017-11-24
453,4202939,concretar,2017-11-29
454,4202954,concretar,2017-12-03
455,4203021,autorizó C. Martínez,2017-12-02
456,4203061,seguridad,2017-12-01
457,4203092,no esta el recibo,2017-12-01
458,4203379,concretar,2017-12-06
459,4203429,no se resolvió nada,2017-12-10
460,4203519,concretar,2017-12-11
461,4203521,concretar,2017-12-11
462,4203531,policía,2017-12-07
463,4203614,concretar,2017-12-09
464,4203620,laboral,2017-12-09
465,4203651,concretar,2017-12-12
466,4203752,chofer colec.,2017-12-12
467,4203762,concretar,2017-12-15
468,4203776,concretar,2017-12-11
469,4203888,fotocopia,2017-12-16
470,4203921,concretar,2017-12-13
471,4203951,concretar,2017-12-16
472,4203957,no aparece el CredInfo,2017-12-17
473,4203957,sin resolver se pasa a 41.,2017-12-17
474,4204010,concretar,2017-12-18
475,4204023,concretar,2017-12-17
476,4204026,policía,2017-12-14
477,4204176,concretar,2017-12-19
478,4204180,concretar,2017-12-22
479,4204212,concretar,2017-12-23
480,4204249,concretar,2017-12-25
481,4204353,no se cambió el neto,2017-12-21
482,4204360,concretar,2017-12-25
483,4204374,concretar,2017-12-20
484,4204413,laboral,2017-12-24
485,4204461,huella,2017-12-26
486,4204493,concretar,2017-12-28
487,4204538,seguridad,2017-12-29
488,4204569,falta visto original y-o firma del operador,2017-12-28
489,4204618,laboral,2017-12-29
490,4204629,laboral,2018-01-01
491,4204664,laboral,2018-01-02
492,4204677,laboral,2018-01-02
493,4204692,concretar,2018-01-04
494,4204722,laboral,2018-01-06
495,4204819,policía,2018-01-06
496,4204852,no se escaneo el legajo,2018-01-12
497,4204872,no fue solucionado.,2018-01-08
498,4204930,seguridad,2018-01-13
499,4204985,no fue solucionado.,2018-01-14
500,4205031,concretar,2018-01-12
501,4205034,concretar,2018-01-10
502,4205072,concretar,2018-01-13
503,4205110,concretar,2018-01-17
504,4205130,seguridad,2018-01-15
505,4205206,no se resolvió nada,2018-01-15
506,4205248,no fue solucionado.,2018-01-16
507,4205404,seguridad,2018-01-15
508,4205450,concretar,2018-01-14
509,4205519,concretar,2018-01-18
510,4205643,concretar,2018-01-23
511,4205770,no esta concretado los doc. faltantes,2018-01-20
512,4205772,concretar,2018-01-21
513,4205785,limpieza,2018-01-26
514,4205847,concretar,2018-01-25
515,4205903,concretar,2018-01-25
516,4205928,falta visto original y-o firma op.,2018-01-26
517,4206013,el cliente da de bajó el crédito,2018-01-26
518,4206013,falta visto original y-o firma op.,2018-01-26
519,4206067,falta visto original y-o firma op.,2018-01-26
520,4206361,seguridad,2018-02-03
521,4206421,falta visto original y-o firma del operador,2018-01-31
522,4206423,DNI extranjero radicación nov 2012 - solo tres meses -,2018-02-01
523,4206445,falta visto original y-o firma op.,2018-02-16
524,4206445,no entendí el comentario de arriba y mandó fotocopias de registro. sin firmar.,2018-02-16
525,4206477,no se presento hoja residencia DNI,2018-02-21
526,4206484,policía,2018-02-21
527,4206522,no resuelto,2018-02-24
528,4206581,seguridad,2018-02-26
529,4206609,concretar,2018-02-28
530,4206609,falta verf. cond. y solicitud - se pasa a 25,2018-02-28
531,4206609,faltan las verif. tel.,2018-02-28
532,4206732,con cód aut. De A. López,2018-03-02
533,4206732,falta visto original y-o firma op.,2018-03-02
534,4206738,falta visto original y-o firma del operador,2018-03-02
535,4206802,concretar,2018-03-11
536,4206814,falta visto original y-o firma del operador,2018-03-15
537,4206826,seguridad,2018-03-18
538,4206892,concretar,2018-03-20
539,4206984,falta visto original y-o firma del operador,2018-03-27
540,4207024,policía,2018-03-26
541,4207053,falta visto original y-o firma op.,2018-03-30
542,4207058,concretar,2018-03-28
543,4207246,falta visto original y-o firma del operador,2018-03-26
544,4207367,concretar,2018-03-27
545,4207625,no se cambiaron los teléfonos,2018-03-31
546,4207695,concretar,2018-04-01
547,4207744,concretar,2018-03-31
548,4208006,beneficio n40,2018-04-08
549,4208040,concretar,2018-04-06
550,4208133,concretar,2018-04-07
551,4208243,falta visto original y-o firma del operador de crédito,2018-04-11
552,4208260,falta visto original y-o firma del operador de crédito,2018-04-14
553,4208263,falta visto original y-o firma op.,2018-04-11
554,4208293,falta visto original y-o firma op.,2018-04-15
555,4208331,falta visto original y-o firma op.,2018-04-11
556,4208368,falta visto original y-o firma del operador de crédito,2018-04-14
557,4208381,concretar,2018-04-14
558,4208395,concretar,2018-04-15
559,4208409,chofer de colectivo,2018-04-19
560,4208448,limpieza,2018-04-19
561,4208564,falta visto original y-o firma op.,2018-04-17
562,4208564,no se resolvió,2018-04-17
563,4208610,chofer colectivo,2018-04-21
564,4208662,concretar,2018-04-21
565,4208716,siguen los mismos números correo 08-04-2013,2018-04-17
566,4208727,hay otro correo 23-03-2013,2018-04-22
567,4208727,no se cambio el DNI,2018-04-22
568,4208727,sin respuesta todavía,2018-04-22
569,4208739,falta visto original y-o firma op.,2018-04-21
570,4208744,laboral,2018-04-23
571,4208839,falta visto original y-o firma op.,2018-04-21
572,4208844,falta visto original y-o firma op.,2018-04-22
573,4208933,policía,2018-04-24
574,4208999,concretar,2018-04-29
575,4209023,ok,2018-04-30
576,4209067,concretar,2018-04-28
577,4209131,concretar,2018-04-29
578,4209201,ok,2018-05-02
579,4209264,chofer colectivo,2018-04-29
580,4209285,Jésica Fernández mando correo ok del legajo - no esta el CredInfo - 25,2018-04-30
581,4209370,concretar,2018-05-07
582,4209499,concretar,2018-05-08
583,4209506,falta pasarlo a 35 el estado.,2018-05-07
584,4209525,falta visto orig y-o firma op crd.,2018-05-07
585,4209543,concretar,2018-05-10
586,4209651,finalizar,2018-05-11
587,4209724,no se bajó ningún límite,2018-05-14
588,4209748,falta pasarlo a 35..,2018-05-12
589,4209748,"páginas 2,3 y 6.",2018-05-12
590,4209754,rocío. cód de aut. ok de Germán Varela.,2018-05-15
591,4209765,concretar,2018-05-15
592,4209794,concretar,2018-05-15
593,4209811,ok,2018-05-15
594,4209851,falta visto orig y-o firma del op de créditos,2018-05-16
595,4209851,no arregló el DNI,2018-05-16
596,4209852,fatal visto orig y-o firma op crd.,2018-05-13
597,4209854,falta visto original y-o firma del op. de créditos,2018-05-13
598,4209870,serv. penitenciario,2018-05-19
599,4209874,falta visto orig y-o firm op crd.,2018-05-19
600,4209878,concretar,2018-05-18
601,4209930,concretar,2018-05-17
602,4209932,concretar,2018-05-22
603,4209934,falta visto original y-o firma del op. de créditos,2018-05-18
604,4209948,falta visto orig y-o firma op crd.,2018-05-22
605,4209951,falta visto orig y-o firma op crd.,2018-05-19
606,4210044,falta visto original y-o firma del op. de créditos,2018-05-20
607,4210055,concretar,2018-05-25
608,4210057,falta visto orig. y-o firma del op. de crd.,2018-05-23
609,4210068,no bajó los límites. mand fotocopia de la factura (?),2018-05-24
610,4210068,no se arregló. se pasa a 41.,2018-05-24
611,4210068,seguridad,2018-05-24
612,4210073,seguridad,2018-05-24
613,4210090,benf. 40,2018-05-24
614,4210090,sin cód aut.,2018-05-24
615,4210124,no se arregló ningún límite.,2018-05-28
616,4210178,no se arregló nada,2018-05-26
617,4210178,no se arregló. se pasa a 41.,2018-05-26
618,4210186,faltante de legajo rto:41640,2018-05-24
619,4210205,finalizar,2018-05-27
620,4210271,ok,2018-05-30
621,4210281,no se arreglaron los limites,2018-05-28
622,4210346,idem..,2018-05-29
623,4210346,los teléfonos siguen siendo iguales 13-10257,2018-05-29
624,4210346,"nunca arregló los tel, se pasa a 41",2018-05-29
625,4210476,concretar,2018-06-07
626,4210542,falta visto orig y-o firma op. crd.,2018-06-11
627,4210556,concretar,2018-06-17
628,4210575,no se arregló los limites. se bajó a a 9000,2018-06-16
629,4210575,serv. penitenciario,2018-06-16
630,4210585,concretar,2018-06-14
631,4210614,concretar,2018-06-15
632,4210702,no se agrego el DNI,2018-06-16
633,4210730,no fue pasado a 35,2018-06-20
634,4210739,concretar,2018-06-18
635,4210825,benf. 40,2018-06-22
636,4210825,no arregló el recibo,2018-06-22
637,4210868,ok,2018-06-24
638,4210900,seguridad,2018-06-24
639,4210910,concretar,2018-06-26
640,4210910,falta pasarlo a 35,2018-06-26
641,4210915,falta pasarlo a 35,2018-06-26
642,4210938,no fue pasado a 35.,2018-06-22
643,4210950,el cliente anula el cred.,2018-06-26
644,4210950,hay otro,2018-06-26
645,4210959,concretar,2018-06-27
646,4210982,cláusulas - solicitud y factura,2018-06-26
647,4211004,falta visto orig y-o firma op.crd.,2018-06-24
648,4211016,no fue pasado a 35,2018-06-29
649,4211020,remito: 41848 - faltante,2018-06-29
650,4211021,no fue pasado a 35,2018-07-02
651,4211037,trabajó eventual,2018-06-28
652,4211045,seguridad - comparte,2018-06-29
653,4211088,$6200 de diferencia con el recibo de sueldo,2018-07-05
654,4211149,remito:41848 - estado 1,2018-07-04
655,4211177,falta visto orig y-o firma op cred.,2018-07-07
656,4211209,pasado a est. 40 por error,2018-07-11
657,4211333,finalizar,2018-07-10
658,4211337,concretar,2018-07-10
659,4211363,insiste que es rrhh. falta rbo. sueldo.,2018-07-12
660,4211363,seguridad,2018-07-12
661,4211546,falta visto orig y-o firma op. crd.,2018-07-14
662,4211549,concretar,2018-07-16
663,4211586,concretar,2018-07-16
664,4211615,finalizar,2018-07-17
665,4211724,concretar,2018-07-19
666,4211882,concretar,2018-07-26
667,4211903,concretar - seguridad,2018-07-27
668,4211903,no bajó el lim. se bajó a 9000,2018-07-27
669,4211910,no se modificaron los teléfonos,2018-07-25
670,4211987,falta pasarlo a 10,2018-07-27
671,4212079,"resuelto, no fue pasado a 35.",2018-07-25
672,4212104,concretar,2018-07-30
673,4212106,no fue solucionado,2018-07-26
674,4212132,falta visto origy-o firma op. crd.,2018-07-27
675,4212184,mando correo el 06-05 pero no lo paso a 35.,2018-08-04
676,4212306,concretar,2018-08-12
677,4212322,datos del laboral,2018-08-11
678,4212366,falta visto origy-o firma op crd,2018-08-12
679,4212423,no se arregló ningún limite..,2018-08-13
680,4212428,ok,2018-08-15
681,4212544,falta visto orig y-o firma op crd.,2018-08-17
682,4212565,"legajo anulado, falta pasarlo a 35.",2018-08-18
683,4212565,no se cambió el DNI,2018-08-18
684,4212609,error propio – conting tira clsico &4500,2018-08-22
